text,stayingpower_pred,stayingpower_conf,stayingpower_true,texture_pred,texture_conf,texture_true,smell_pred,smell_conf,smell_true,price_pred,price_conf,price_true,colour_pred,colour_conf,colour_true,shipping_pred,shipping_conf,shipping_true,packing_pred,packing_conf,packing_true,msr_resolution,conflict_score
beautifully colored lipstick definitely contributes this is also the first time i bought lipstick on shopee. i always support the shop??,positive,0.8442,None,positive,0.8683,None,positive,0.8771,None,positive,0.8692,None,positive,0.9058,positive,neutral,0.5649,None,positive,0.897,positive,Overall Positive,0.0
uses: totso texture: huhc color fastness: ok hfuffufkdufjjvk kgigrgikbbugdu ogvvcjdytsifvjg gjvcjhchxdyvjgvjgu icvivf,neutral,0.593,positive,neutral,0.7487,neutral,positive,0.5322,None,positive,0.7479,None,neutral,0.4994,None,positive,0.5623,None,positive,0.8138,None,Overall Positive,0.0
the lipstick color is extremely beautiful ?? you should buy the image to receive coins cdgjsjsjsjsbsbbsbsbsbxbxxxbhsbbsbsbsbsbsbsbsbbbsbsbsbsbsbsbsbsbbsbsbsbsbsbbsbsbdbdbbdbdbdbdbdbdbdbvvvdvvdvvdvvdvvdbv,positive,0.7569,None,positive,0.8851,None,positive,0.8685,None,positive,0.8798,None,positive,0.9348,positive,neutral,0.5715,None,positive,0.8896,None,Overall Positive,0.0
i think this lipstick color is very beautiful. feels very smooth when applied to the lips. the lipstick sticks tightly like a magnet,positive,0.7575,positive,positive,0.9271,positive,positive,0.8753,None,positive,0.9056,None,positive,0.8784,positive,positive,0.6902,None,positive,0.9225,None,Overall Positive,0.0
"uses: 10 points texture: dac color fastness: 5-6 h u is a very pretty color, this is the lipstick i've worn the most so far. brushing on your skin really whitens your teeth!!!! 10 minutes",positive,0.6184,positive,neutral,0.5942,neutral,positive,0.7269,None,positive,0.819,None,positive,0.7168,positive,neutral,0.4494,None,positive,0.8584,None,Overall Positive,0.0
"i've been waiting for a long time, but the process of packing and sending goods to customers is a bit long and can be ignored. really excellent lipstick color. well worth buying",positive,0.5354,None,positive,0.6433,None,positive,0.77,None,positive,0.8073,None,positive,0.8702,positive,negative,0.8476,negative,positive,0.8694,None,MIXED,0.7131
"the color is beautiful, the packaging is very okeeeeee, if i have the opportunity i will support it",positive,0.7998,None,positive,0.8687,None,positive,0.8756,None,positive,0.8706,None,positive,0.9262,positive,neutral,0.4982,None,positive,0.8944,positive,Overall Positive,0.0
the lipstick is beautiful but delivery took a bit longer sorry for not having photos to send to the shop will support for a long time,negative,0.4398,None,positive,0.5206,None,positive,0.6881,None,positive,0.771,None,positive,0.6954,None,negative,0.8765,negative,positive,0.8138,None,MIXED,0.9557
"do not buy it!!!! shop nt will never respond to customers buy 2 lipsticks 01, but get 02. what the hell???? everyone be careful",negative,0.834,None,negative,0.7279,None,neutral,0.4842,None,positive,0.5616,None,positive,0.4331,None,negative,0.7137,negative,negative,0.4722,None,MIXED,0.7303
"the lipstick is so pretty, it's so cheap, i bought it twice and the color is perfect, my lips are smooth, the smell is a bit horrible",positive,0.4914,None,positive,0.7041,positive,negative,0.8668,negative,positive,0.6164,None,positive,0.6057,positive,positive,0.4434,None,positive,0.6754,None,MIXED,0.6962
