text,stayingpower_pred,stayingpower_conf,stayingpower_true,texture_pred,texture_conf,texture_true,smell_pred,smell_conf,smell_true,price_pred,price_conf,price_true,colour_pred,colour_conf,colour_true,shipping_pred,shipping_conf,shipping_true,packing_pred,packing_conf,packing_true,msr_resolution,conflict_score,stayingpower_importance,texture_importance,smell_importance,price_importance,colour_importance,shipping_importance,packing_importance
beautifully colored lipstick definitely contributes this is also the first time i bought lipstick on shopee. i always support the shop??,positive,0.7674,None,positive,0.7148,None,positive,0.8593,None,positive,0.8667,None,positive,0.8512,positive,positive,0.6919,None,positive,0.8615,positive,negative,0.4933,0.1433,0.1441,0.1422,0.1422,0.1433,0.1438,0.1412
uses: totso texture: huhc color fastness: ok hfuffufkdufjjvk kgigrgikbbugdu ogvvcjdytsifvjg gjvcjhchxdyvjgvjgu icvivf,neutral,0.5168,positive,neutral,0.6299,neutral,positive,0.7179,None,positive,0.7598,None,positive,0.5967,None,positive,0.5855,None,positive,0.7617,None,negative,0.4962,0.1458,0.147,0.1412,0.1411,0.1433,0.1422,0.1394
the lipstick color is extremely beautiful ?? you should buy the image to receive coins cdgjsjsjsjsbsbbsbsbsbxbxxxbhsbbsbsbsbsbsbsbsbbbsbsbsbsbsbsbsbsbbsbsbsbsbsbbsbsbdbdbbdbdbdbdbdbdbdbvvvdvvdvvdvvdvvdbv,positive,0.7804,None,positive,0.7396,None,positive,0.8994,None,positive,0.8648,None,positive,0.8614,positive,positive,0.4943,None,positive,0.8615,None,negative,0.4948,0.1433,0.144,0.1424,0.1422,0.1433,0.1441,0.1408
i think this lipstick color is very beautiful. feels very smooth when applied to the lips. the lipstick sticks tightly like a magnet,positive,0.7599,positive,positive,0.7387,positive,positive,0.8824,None,positive,0.8652,None,positive,0.8405,positive,positive,0.5741,None,positive,0.861,None,negative,0.4941,0.1433,0.1439,0.1424,0.1421,0.1432,0.1441,0.141
"uses: 10 points texture: dac color fastness: 5-6 h u is a very pretty color, this is the lipstick i've worn the most so far. brushing on your skin really whitens your teeth!!!! 10 minutes",positive,0.4994,positive,neutral,0.6027,neutral,positive,0.7951,None,positive,0.7806,None,positive,0.7162,positive,positive,0.4517,None,positive,0.773,None,negative,0.4958,0.1456,0.1467,0.1419,0.1412,0.1435,0.1417,0.1395
"i've been waiting for a long time, but the process of packing and sending goods to customers is a bit long and can be ignored. really excellent lipstick color. well worth buying",positive,0.5431,None,positive,0.7004,None,positive,0.7664,None,positive,0.7655,None,positive,0.8111,positive,negative,0.7676,negative,positive,0.7173,None,negative,0.4902,0.1433,0.1475,0.1468,0.1461,0.1477,0.1259,0.1427
"the color is beautiful, the packaging is very okeeeeee, if i have the opportunity i will support it",positive,0.7823,None,positive,0.747,None,positive,0.8908,None,positive,0.8817,None,positive,0.8784,positive,positive,0.6172,None,positive,0.8792,positive,negative,0.4939,0.1433,0.1439,0.1423,0.1422,0.1432,0.1439,0.1412
the lipstick is beautiful but delivery took a bit longer sorry for not having photos to send to the shop will support for a long time,positive,0.5799,None,positive,0.742,None,positive,0.7911,None,positive,0.7892,None,positive,0.8458,None,negative,0.7853,negative,positive,0.736,None,negative,0.4903,0.1439,0.1474,0.1467,0.1461,0.1479,0.1251,0.1428
"do not buy it!!!! shop nt will never respond to customers buy 2 lipsticks 01, but get 02. what the hell???? everyone be careful",negative,0.8159,None,negative,0.656,None,positive,0.4802,None,positive,0.7135,None,positive,0.4658,None,negative,0.6155,negative,positive,0.5022,None,negative,0.4906,0.1319,0.137,0.1474,0.1555,0.1444,0.1387,0.1451
"the lipstick is so pretty, it's so cheap, i bought it twice and the color is perfect, my lips are smooth, the smell is a bit horrible",positive,0.6538,None,positive,0.7054,positive,negative,0.636,negative,positive,0.6377,None,positive,0.7038,positive,positive,0.6765,None,positive,0.6148,None,negative,0.4926,0.1427,0.1476,0.1297,0.1447,0.1458,0.1477,0.1417
"purchased during the epidemic season from august 8 to october 4, new delivery ???? first time using this color, hope you like it to avoid disappointment after waiting for so long",positive,0.4816,None,positive,0.6137,None,positive,0.6798,None,positive,0.6171,None,positive,0.6136,neutral,negative,0.7381,negative,positive,0.6508,None,negative,0.4916,0.1465,0.1487,0.1466,0.1431,0.1461,0.127,0.142
"i thought it was beautiful, but it was beautiful, i thought the lipstick was smooth but also fragrant. i waited for my order forever and finally i received it",positive,0.6456,None,positive,0.7882,positive,positive,0.8644,positive,positive,0.8229,None,positive,0.8766,None,negative,0.5808,None,positive,0.8056,None,negative,0.4903,0.1454,0.1467,0.1453,0.1446,0.1463,0.1294,0.1424
"the lipstick is so pretty, i applied the discount code so i didn't have to pay for this product, it's like getting it for free, it's just yiwu warehouse so delivery takes so long",positive,0.5306,None,positive,0.7088,None,positive,0.7793,None,positive,0.7966,positive,positive,0.8355,None,negative,0.7955,negative,positive,0.7075,None,negative,0.4901,0.1415,0.1469,0.1472,0.1474,0.1484,0.1256,0.1429
the lipstick color is beautiful but the lipstick is not very smooth and dries quickly. i applied lipstick before i could even blend it and it was dry -.-,positive,0.4737,None,negative,0.885,negative,positive,0.4689,None,positive,0.748,None,positive,0.5634,positive,negative,0.4804,None,positive,0.5094,None,negative,0.4941,0.1421,0.1282,0.1441,0.1544,0.1461,0.1413,0.1438
"great product quality, well worth the money. pictures and videos are for coin recognition purposes only",positive,0.7842,None,positive,0.7296,None,positive,0.8988,None,positive,0.8747,positive,positive,0.8756,None,positive,0.5439,None,positive,0.8631,None,negative,0.4946,0.1432,0.144,0.1424,0.1423,0.1433,0.1438,0.1409
"great. it's great, everyone. ladies you should buy it. it's cheap but the color is so beautiful. oh, when i picked up the lipstick, i fainted",positive,0.7759,None,positive,0.7042,None,positive,0.8878,None,positive,0.8841,positive,positive,0.8882,positive,positive,0.6859,None,positive,0.8779,None,negative,0.4935,0.1431,0.144,0.1424,0.1424,0.1433,0.1436,0.1413
bbia a25 is a legend. this is the first lipstick i've used for the third time and still like it,positive,0.7598,None,positive,0.6848,None,positive,0.8766,None,positive,0.8659,None,positive,0.8605,positive,positive,0.6307,None,positive,0.86,None,negative,0.4939,0.1434,0.1442,0.1423,0.1421,0.1433,0.1437,0.141
"beautiful lipstick color, good quality, fast delivery, very attentive shop. images and videos are for coin-receipt purposes",positive,0.7436,None,positive,0.6827,None,positive,0.7754,None,positive,0.8607,None,positive,0.8784,positive,positive,0.923,positive,positive,0.8568,None,negative,0.4923,0.1419,0.1441,0.142,0.1425,0.1436,0.1441,0.1417
