data,stayingpower,texture,smell,price,colour,shipping,packing
"The lipstick texture is smooth and easy to apply, and for the price it feels reasonable.",,positive,,neutral,,,
"The color is wearable and simple, and the price matches what the product offers.",,,,neutral,positive,,
"It does not last very long on the lips, but for the price this is acceptable.",negative,,,neutral,,,
"The smell is light and not disturbing, you get what you pay for at this price.",,,neutral,neutral,,,
"The lipstick feels slightly dry, but the price is fair for this quality.",,negative,,neutral,,,
"The shade looks nice on the lips, and the price feels normal for a daily lipstick.",,,,neutral,positive,,
"Shipping took about a week, and considering the price it is fine.",,,,neutral,,neutral,
"The packaging is simple and neat, and the price matches the overall product.",,,,neutral,,,neutral
The lipstick applies evenly and for the price it performs as expected.,,positive,,neutral,,,
"The color payoff is average, and the price feels standard.",,,,neutral,neutral,,
"It fades a bit after eating, but at this price that is understandable.",negative,,,neutral,,,
"The texture is okay and not sticky, and the price is just normal.",,neutral,,neutral,,,
"The smell is pleasant but not strong, and the price seems fair.",,,positive,neutral,,,
"Shipping was a little slow, but considering the price it is acceptable.",,,,neutral,,negative,
"The lipstick feels light on the lips, and the price fits the quality.",,positive,,neutral,,,
"The color is soft and natural, and the price is what I expected.",,,,neutral,positive,,
"The packaging is basic, but the price matches the presentation.",,,,neutral,,,neutral
"There is almost no smell, and at this price that is fine.",,,neutral,neutral,,,
"The lipstick feels a bit heavy, but the price seems reasonable.",,negative,,neutral,,,
"The shade is suitable for daily use, and the price is fair.",,,,neutral,positive,,
"The product arrived safely, and for the price it is okay.",,,,neutral,,neutral,positive
"The staying power is average, which is acceptable for this price.",neutral,,,neutral,,,
"It does not stay very long, but you get what you pay for.",negative,,,neutral,,,
"The texture feels soft, and the price seems fair to me.",,positive,,neutral,,,
"The smell is not very nice, but at this price it is acceptable.",,,negative,neutral,,,
"The lipstick looks fine overall, and the price is just average.",,,,neutral,neutral,,
"Shipping was fast, and the price feels reasonable.",,,,neutral,,positive,
"The texture feels dry after some time, but the price explains it.",,negative,,neutral,,,
"The color matches the photos, and the price is fair.",,,,neutral,positive,,
"The packaging is simple, and the price feels standard.",,,,neutral,,,neutral
"There is no noticeable smell, which is fine for this price.",,,neutral,neutral,,,
"The lipstick applies smoothly, and the price seems reasonable.",,positive,,neutral,,,
"The staying power is not strong, but the price is fair.",negative,,,neutral,,,
"The smell is okay, and you get what you pay for.",,,neutral,neutral,,,
"The lipstick looks good at first, and the price is normal.",,,,neutral,positive,,
"Shipping took some time, but for the price it is acceptable.",,,,neutral,,neutral,
"The texture feels average, and the price is just okay.",,neutral,,neutral,,,
"The color is simple and wearable, and the price matches it.",,,,neutral,positive,,
"It wears off after a few hours, but that is expected at this price.",negative,,,neutral,,,
"The lipstick feels comfortable, and the price seems fair.",,positive,,neutral,,,
"The smell is not special, but the price is reasonable.",,,neutral,neutral,,,
"The lipstick feels a bit rough, but the price explains the quality.",,negative,,neutral,,,
"The packaging is neat, and the price is fair overall.",,,,neutral,,,positive
"The shade is fine for casual use, and the price is acceptable.",,,,neutral,positive,,
"The lipstick arrived without issues, and the price feels normal.",,,,neutral,,neutral,positive
"The staying power is weak, but you get what you pay for.",negative,,,neutral,,,
"The lipstick feels light, and the price is reasonable.",,positive,,neutral,,,
"The lipstick is a bit dry on the lips, but for this price, you get what you pay for.",,negative,,neutral,,,
"The color is standard, nothing special. The price is reasonable for the quality provided.",,,,neutral,neutral,,
"Shipping took about 5 days which is normal. The price is okay, neither cheap nor expensive.",,,,neutral,,neutral,
The smell is quite strong and chemical. I guess at this price point I shouldn't expect a high-end fragrance.,,,negative,neutral,,,
"It fades after eating, but considering the cost, it is an acceptable daily lipstick.",neutral,,,neutral,,,
"The packaging is simple plastic. It is a standard budget product, so the price matches what you receive.",,,,neutral,,,neutral
The color is beautiful and bright. The price is the same as in the store.,,,,neutral,positive,,
Texture is smooth but the stick is small. The price is fair for the amount of grams.,,positive,,neutral,,,
"I bought it to try, the quality is average. The price is acceptable.",,,,neutral,,,
Delivery was fast. The price is consistent with other shops selling this brand.,,,,neutral,,positive,
The box was slightly dented. It's a cheap product so I didn't expect luxury packing anyway.,,,,neutral,,,negative
The scent is nice like peach. The price is standard for a student budget.,,,positive,neutral,,,
"It doesn't stay on long, maybe 2 hours. But for 50k, it's fine to just reapply.",neutral,,,neutral,,,
The texture is a bit powdery. You get what you pay for essentially.,,negative,,neutral,,,
"It is not a fake, the quality is decent. The price is market rate.",,,,neutral,,,
"Bought 2 colors, they look okay. The price is normal, not a steal but not a rip-off.",,,,neutral,neutral,,
Shipping took forever. The lipstick is okay for the money.,,,,neutral,,negative,
The packaging is cute. Price is about right for a domestic brand.,,,,neutral,,,positive
The color is lighter than the picture. It's a cheap lipstick so I can't complain too much.,,,,neutral,negative,,
It feels sticky on the lips. Quality is commensurate with the low price.,,negative,,neutral,,,
Standard shipping speed. The price is average for this type of matte tint.,,,,neutral,,neutral,
"It smells like candy, very sweet. Price is okay, I bought it with free shipping coupon.",,,positive,neutral,,,
"The staying power is weak. But for a few dollars, it is acceptable for taking photos.",negative,,,neutral,,,
Nice color but drying. The price is standard.,,negative,,neutral,positive,,
I ordered the wrong shade. The price is fair so I will just give it to my sister.,,,,neutral,,,
"The bottle is glass, feels sturdy. Price is expected for this quality.",,,,neutral,,,positive
