data,stayingpower,texture,smell,price,colour,shipping,packing,text_clean,signature
"The lipstick texture is smooth and easy to apply, and for the price it feels reasonable.",,positive,,neutral,,,,"the lipstick texture is smooth and easy to apply, and for the price it feels reasonable.",stayingpower:na|texture:positive|smell:na|price:neutral|colour:na|shipping:na|packing:na
"The color is wearable and simple, and the price matches what the product offers.",,,,neutral,positive,,,"the color is wearable and simple, and the price matches what the product offers.",stayingpower:na|texture:na|smell:na|price:neutral|colour:positive|shipping:na|packing:na
"It does not last very long on the lips, but for the price this is acceptable.",negative,,,neutral,,,,"it does not last very long on the lips, but for the price this is acceptable.",stayingpower:negative|texture:na|smell:na|price:neutral|colour:na|shipping:na|packing:na
"The smell is light and not disturbing, you get what you pay for at this price.",,,neutral,neutral,,,,"the smell is light and not disturbing, you get what you pay for at this price.",stayingpower:na|texture:na|smell:neutral|price:neutral|colour:na|shipping:na|packing:na
"The lipstick feels slightly dry, but the price is fair for this quality.",,negative,,neutral,,,,"the lipstick feels slightly dry, but the price is fair for this quality.",stayingpower:na|texture:negative|smell:na|price:neutral|colour:na|shipping:na|packing:na
"The shade looks nice on the lips, and the price feels normal for a daily lipstick.",,,,neutral,positive,,,"the shade looks nice on the lips, and the price feels normal for a daily lipstick.",stayingpower:na|texture:na|smell:na|price:neutral|colour:positive|shipping:na|packing:na
"Shipping took about a week, and considering the price it is fine.",,,,neutral,,neutral,,"shipping took about a week, and considering the price it is fine.",stayingpower:na|texture:na|smell:na|price:neutral|colour:na|shipping:neutral|packing:na
"The packaging is simple and neat, and the price matches the overall product.",,,,neutral,,,neutral,"the packaging is simple and neat, and the price matches the overall product.",stayingpower:na|texture:na|smell:na|price:neutral|colour:na|shipping:na|packing:neutral
The lipstick applies evenly and for the price it performs as expected.,,positive,,neutral,,,,the lipstick applies evenly and for the price it performs as expected.,stayingpower:na|texture:positive|smell:na|price:neutral|colour:na|shipping:na|packing:na
"The color payoff is average, and the price feels standard.",,,,neutral,neutral,,,"the color payoff is average, and the price feels standard.",stayingpower:na|texture:na|smell:na|price:neutral|colour:neutral|shipping:na|packing:na
"It fades a bit after eating, but at this price that is understandable.",negative,,,neutral,,,,"it fades a bit after eating, but at this price that is understandable.",stayingpower:negative|texture:na|smell:na|price:neutral|colour:na|shipping:na|packing:na
"The texture is okay and not sticky, and the price is just normal.",,neutral,,neutral,,,,"the texture is okay and not sticky, and the price is just normal.",stayingpower:na|texture:neutral|smell:na|price:neutral|colour:na|shipping:na|packing:na
"The smell is pleasant but not strong, and the price seems fair.",,,positive,neutral,,,,"the smell is pleasant but not strong, and the price seems fair.",stayingpower:na|texture:na|smell:positive|price:neutral|colour:na|shipping:na|packing:na
"Shipping was a little slow, but considering the price it is acceptable.",,,,neutral,,negative,,"shipping was a little slow, but considering the price it is acceptable.",stayingpower:na|texture:na|smell:na|price:neutral|colour:na|shipping:negative|packing:na
"The lipstick feels light on the lips, and the price fits the quality.",,positive,,neutral,,,,"the lipstick feels light on the lips, and the price fits the quality.",stayingpower:na|texture:positive|smell:na|price:neutral|colour:na|shipping:na|packing:na
"The color is soft and natural, and the price is what I expected.",,,,neutral,positive,,,"the color is soft and natural, and the price is what i expected.",stayingpower:na|texture:na|smell:na|price:neutral|colour:positive|shipping:na|packing:na
"The packaging is basic, but the price matches the presentation.",,,,neutral,,,neutral,"the packaging is basic, but the price matches the presentation.",stayingpower:na|texture:na|smell:na|price:neutral|colour:na|shipping:na|packing:neutral
"There is almost no smell, and at this price that is fine.",,,neutral,neutral,,,,"there is almost no smell, and at this price that is fine.",stayingpower:na|texture:na|smell:neutral|price:neutral|colour:na|shipping:na|packing:na
"The lipstick feels a bit heavy, but the price seems reasonable.",,negative,,neutral,,,,"the lipstick feels a bit heavy, but the price seems reasonable.",stayingpower:na|texture:negative|smell:na|price:neutral|colour:na|shipping:na|packing:na
"The shade is suitable for daily use, and the price is fair.",,,,neutral,positive,,,"the shade is suitable for daily use, and the price is fair.",stayingpower:na|texture:na|smell:na|price:neutral|colour:positive|shipping:na|packing:na
"The product arrived safely, and for the price it is okay.",,,,neutral,,neutral,positive,"the product arrived safely, and for the price it is okay.",stayingpower:na|texture:na|smell:na|price:neutral|colour:na|shipping:neutral|packing:positive
"The staying power is average, which is acceptable for this price.",neutral,,,neutral,,,,"the staying power is average, which is acceptable for this price.",stayingpower:neutral|texture:na|smell:na|price:neutral|colour:na|shipping:na|packing:na
"It does not stay very long, but you get what you pay for.",negative,,,neutral,,,,"it does not stay very long, but you get what you pay for.",stayingpower:negative|texture:na|smell:na|price:neutral|colour:na|shipping:na|packing:na
"The texture feels soft, and the price seems fair to me.",,positive,,neutral,,,,"the texture feels soft, and the price seems fair to me.",stayingpower:na|texture:positive|smell:na|price:neutral|colour:na|shipping:na|packing:na
"The smell is not very nice, but at this price it is acceptable.",,,negative,neutral,,,,"the smell is not very nice, but at this price it is acceptable.",stayingpower:na|texture:na|smell:negative|price:neutral|colour:na|shipping:na|packing:na
"The lipstick looks fine overall, and the price is just average.",,,,neutral,neutral,,,"the lipstick looks fine overall, and the price is just average.",stayingpower:na|texture:na|smell:na|price:neutral|colour:neutral|shipping:na|packing:na
"Shipping was fast, and the price feels reasonable.",,,,neutral,,positive,,"shipping was fast, and the price feels reasonable.",stayingpower:na|texture:na|smell:na|price:neutral|colour:na|shipping:positive|packing:na
"The texture feels dry after some time, but the price explains it.",,negative,,neutral,,,,"the texture feels dry after some time, but the price explains it.",stayingpower:na|texture:negative|smell:na|price:neutral|colour:na|shipping:na|packing:na
"The color matches the photos, and the price is fair.",,,,neutral,positive,,,"the color matches the photos, and the price is fair.",stayingpower:na|texture:na|smell:na|price:neutral|colour:positive|shipping:na|packing:na
"The packaging is simple, and the price feels standard.",,,,neutral,,,neutral,"the packaging is simple, and the price feels standard.",stayingpower:na|texture:na|smell:na|price:neutral|colour:na|shipping:na|packing:neutral
"There is no noticeable smell, which is fine for this price.",,,neutral,neutral,,,,"there is no noticeable smell, which is fine for this price.",stayingpower:na|texture:na|smell:neutral|price:neutral|colour:na|shipping:na|packing:na
"The lipstick applies smoothly, and the price seems reasonable.",,positive,,neutral,,,,"the lipstick applies smoothly, and the price seems reasonable.",stayingpower:na|texture:positive|smell:na|price:neutral|colour:na|shipping:na|packing:na
"The staying power is not strong, but the price is fair.",negative,,,neutral,,,,"the staying power is not strong, but the price is fair.",stayingpower:negative|texture:na|smell:na|price:neutral|colour:na|shipping:na|packing:na
"The smell is okay, and you get what you pay for.",,,neutral,neutral,,,,"the smell is okay, and you get what you pay for.",stayingpower:na|texture:na|smell:neutral|price:neutral|colour:na|shipping:na|packing:na
