data,stayingpower,texture,smell,price,colour,shipping,packing
"Son is very ok. The color is very beautiful, but shipping took a while",,,,,positive,negative,
"The lipstick is very pretty, has a light scent, and is cheap, but if you buy this color lipstick, you should consider it a bit because it's a bit sinking.",,,positive,positive,negative,,
The color is right but it's a bit dull. Doesn't hold the color at all Punnn. I say just wipe it once and it'll be like nothing happened…,negative,,,,positive,,
"The lipstick has the right color and good. The longer it stays on, the longer it stays matte and dries quickly, but the lid is so ugly",positive,positive,positive,,positive,,
"Color 501 is very pretty, everyone. I won this color giveaway but before that I also bought color 504, the lipstick quality is ok.",,positive,,,positive,,
"Use: Lipstick Texture: Good Color fastness: Fair First time buying, haven't used it yet so don't know yet, delivery is a bit long",positive,positive,,,,negative,
Fast delivery. 2 days to receive the goods. Color 24 whitens the skin and is very beautiful.,,,,,positive,positive,
"Beautiful product, fast delivery time, very carefully packaged product",,,,,,positive,positive
"The lipstick is very smooth, the color is beautiful and suits me very well, delivered quickly and packaged beautifully",,positive,,,positive,positive,positive
"The lipstick has a beautiful color, the smell is very fragrant, it is very smooth on the lips ? ?",,positive,positive,,positive,,
"Beautiful color, smooth lips, fast delivery, carefully packaged, quality",,positive,,,positive,positive,positive
"Delivered carefully wrapped with a beautiful gift card, for 10 VND, will try and review later",,,,,,positive,positive
"It's so beautiful, it's so beautiful, it's so cute, it's so cute, you know, I bought two to use and that's it ? soup on sale, so cheap, fast delivery, overall 10 points.",,,,positive,,,
"Use: lipstick Texture: round Color fastness: the color is very beautiful Fast delivery, beautiful quality lipstick, cheap, worth buying again, will buy again haha",neutral,neutral,,positive,positive,positive,
Can't fault it at all The color is so beautiful and so fragrant? Mmmm,,,positive,,positive,,
"It looks very pretty, I bought it as a gift so I couldn't test the color, in short it's ok…",,,,,neutral,,
The new lipstick doesn't dry out when applied but has a bad smell,,positive,negative,,,,
"Beautiful lipstick, fragrant peel, very smooth texture, highly recommended.",,positive,positive,,,,
The lipstick has beautiful color and good color adhesion. I've bought it many times so I have nothing to complain about,positive,,,,positive,,
"Cheap product but very pleasing to the eye…packaged carefully, delivered in full…but the time is a bit long",,,,positive,,negative,positive
"The product is very beautiful. Everyone has been supporting the shop for a long time. Fast delivery, sturdy and careful packaging. The lipstick color is very good.",,,,,positive,positive,positive
"The color is very beautiful, the bar I bought is color 25 This is my first time buying this shop and I think the lipstick is very good. You should buy it. The price is also reasonable and authentic ?",,,,positive,positive,,
It's so beautiful. The lipstick so good. Give me 10 points too.,,,positive,,,,
"Beautiful lipstick color, cute shell, lipstick has a light orange scent, smooth texture, international shipping so it takes a little longer",,positive,neutral,,positive,negative,
"Delivery time is a bit long due to the epidemic, so we can understand that the product has been reviewed by many people, so I give it 5*",,,,,,negative,
"Beautiful lipstick color, once used, I will return to the shop for tips, super fast shipping",,,,,positive,positive,
"When I applied v24 on my hand, I thought it was lotus pink. When I applied it to my lips, the color was as natural as my lip color. Meanwhile, color 28 had a lot of orange in it, and the lipstick smelled like an apple. Overall, it's pretty.",,,positive,,positive,,
"Fast delivery and using the NHF brand is ok, everyone should try it",,,,,,positive,
I heard this lipstick color was very beautiful so I bought it to try but have never used it before,,,,,neutral,,
"Domestic goods so delivery takes a while, enough goods, lipstick is ok…",,,,,,negative,
"Beautiful lipstick, fast delivery, color exactly as pictured, looks beautiful on lips, price is too cheap, will continue to support",,,,positive,positive,positive,
"The in-laws are good… soft… there is a lip cream that dries the lips, wax wax is ok… fully stocked…",,neutral,,positive,,,
"cbi shop shipped quickly, packaged very well, I thought I would receive it after Tet but it arrived so fast, about 10 days ? the lipstick is fragrant, the color is perfect ?",,,positive,,positive,,positive
"Texture: 8/10 Color fastness: 7/10 The lipstick has a very fragrant grape candy scent, the texture is a bit thin, to the teeth, is sticky, and the color tint is not Color v26 is only for those who have a passion or know how to handle it, otherwise it will easily look purple with paste :)))",positive,positive,positive,,neutral,,
"The lipstick color is very satisfactory, very beautiful, rarely fades, in short, everyone should buy it",positive,,,,positive,,
"Because it is an international product, delivery takes quite a while. The quality is also so-so. You get what you pay for",,,,positive,,negative,
"The color is beautiful. If you have dry lips, don't buy it. It's not matte. Fast delivery, about 6 days to receive.",negative,,,,positive,positive,
