text,aspect,true_label,pred_label,error_type
"Bought for the first time, the color is pretty and the lipstick is a bit light kkk but there's nothing to criticize about this color",texture,positive,negative,positive->negative
"I haven't tried the lipstick yet so I don't know the quality. But this lipstick is expensive at 250k! But buy 1 get 1 free in this color, it's ok",price,negative,positive,negative->positive
"The lipstick well, the color is like cherry red, leaving a dark pink base on my lips.",colour,positive,neutral,positive->neutral
"Lipstick does not increase color. The smell is okay, not very fragrant, the lipstick is soft and smooth, overall it's ok",smell,positive,negative,positive->negative
"Lipstick does not increase color. The smell is okay, not very fragrant, the lipstick is soft and smooth, overall it's ok",colour,negative,neutral,negative->neutral
"The lipstick color is very satisfying. Even though it's an international product, delivery takes a while, but it's okay. Thank you to the manufacturer and thank you to the shipping company.",shipping,neutral,negative,neutral->negative
"The shop delivered beautiful lipstick products worth buying, everyone ?",shipping,positive,neutral,positive->neutral
"It took a long time to ship, probably due to the epidemic. The product received in full. The color is quite dark, 1 earthy red, 1 earthy orange red, a bit dark compared to the color, quality is okay compared to the price, there is a chemical smell. The shop gave me an extra mask and blackhead remover.",colour,neutral,negative,neutral->negative
"Color 002 is the top color, guys. It's more of a deep brown. It's quite soft on the lips, but not too matte. Suitable for those with white skin, or if you apply it lightly it will look a bit old.",colour,neutral,positive,neutral->positive
"The shipper is very attentive, due to the epidemic, it may take a little longer. The packaging of the product is very sturdy and avoids overheating. Buy 2 in the sale and get 1 extra free. It's so pretty. Next time I will continue to support this shop.",shipping,positive,neutral,positive->neutral
"The lipstick color is beautiful on the lips, but the black shell is so pretty",texture,negative,positive,negative->positive
"The lipstick like chocolate, smooth and not powdery, color 201, everyone should try it",colour,positive,neutral,positive->neutral
"I bought 2 lipstick colors, 23 and 19. 23 is darker than 19, 19 is brighter, the lipstick is also smooth, not too matte, wipe it off and still have a light tint layer.",stayingpower,neutral,negative,neutral->negative
"Full delivery, reasonable price. Haven't used it yet so don't know how it works. Thank you store!",shipping,positive,neutral,positive->neutral
Fast delivery . This beautiful lipstick color suits all skin types. The scent is very pleasant and pleasant. I haven't used it yet so I don't know if it's durable or not ?,shipping,positive,neutral,positive->neutral
"The lipstick is very pretty, the color 203 is brighter in person than in the photo. It's a bit picky about skin color, so everyone should consider before buying.",colour,neutral,negative,neutral->negative
"Uses: on my lips, it's orange-red Texture: pretty lipstick Color fastness: 3 to 4 hours, will last longer if not exposed",stayingpower,positive,neutral,positive->neutral
"Uses: on my lips, it's orange-red Texture: pretty lipstick Color fastness: 3 to 4 hours, will last longer if not exposed",colour,neutral,positive,neutral->positive
"We say that from the lipstick case to the lipstick, the quality is the same >< the color is perfect, the lips are soft and smooth, without clumping, the lips are super pretty. Very worth the money, you should buy it! Delivery took a bit long, but in return the shipper was extremely friendly, so I rate it 5 stars! *Video is for recognition purposes only*@@",shipping,positive,neutral,positive->neutral
The lipstick color is much prettier than I thought but you get what you pay for,price,neutral,positive,neutral->positive
The lipstick color is much prettier than I thought but you get what you pay for,colour,positive,negative,positive->negative
"Received the goods quite quickly, the shop also packaged the goods carefully. The lipstick is soft and smooth, easy to spread, no smell, applies smoothly but not dry, and the price is so cheap. The problem is that the lipstick when tested on my hand looks better than when it's on my lips, and the color on the picture is also more beautiful than in person. Anyway, I really like it",colour,negative,positive,negative->positive
"The color is super super pretty, I think it's quite matte but still shows my lip lines. Color 502 is like a peachy orange color, suitable for light makeup or going to school. Regarding the smell, I think it resembles a packet of peach tea",smell,positive,neutral,positive->neutral
"This color is a bit dark, suitable for makeup but not for bare faces. The lipstick is long-lasting, easy to wear off. One light swipe and it's all gone.",texture,negative,positive,negative->positive
"This color is a bit dark, suitable for makeup but not for bare faces. The lipstick is long-lasting, easy to wear off. One light swipe and it's all gone.",colour,neutral,negative,neutral->negative
"Beautiful color, smooth, matte, extremely fragrant Delivery takes about 5-6 days Spa is very good",stayingpower,positive,neutral,positive->neutral
"Beautiful color, smooth, matte, extremely fragrant Delivery takes about 5-6 days Spa is very good",shipping,positive,neutral,positive->neutral
Delivery is quite fast. Smaller than pictured. The lipstick is difficult to spread. The color is as beautiful as the picture,colour,negative,positive,negative->positive
"The lipstick is not very durable and takes a long time to deliver, but it's cheap and can be used temporarily",stayingpower,neutral,negative,neutral->negative
"When I bought the apron, it seemed dry or rotten, but it was still usable and delivered quickly",texture,negative,neutral,negative->neutral
"Delivered the right color, feels soft and smooth when applied, lasts for a long time, but I don't like the smell very much, works well for the price.",stayingpower,positive,neutral,positive->neutral
"Bought 3 lipsticks, not a great price but very good, the shop shipped quickly and wrapped well, I think this collection is worth buying. V26 is so beautiful",price,neutral,positive,neutral->positive
"The goods took a little while to arrive but it was worth it, it was really worth the money",shipping,negative,neutral,negative->neutral
"Ok man, the shop delivered the goods correctly, thank you very much, the smell is fragrant,",shipping,positive,neutral,positive->neutral
Received the goods quickly and shipped from there even faster than when I ordered and shipped from the store :) I bought this color as a gift for my mother…,colour,neutral,positive,neutral->positive
"Full product delivery Due to the epidemic situation, it took me quite a while to receive it, okay?",shipping,neutral,negative,neutral->negative
