data,stayingpower,texture,smell,price,colour,shipping,packing
"The color looks nice on the lips, but the price feels too high for what you get.",,,,negative,positive,,
"I like the smooth texture, however the price is not reasonable compared to similar products.",,positive,,negative,,,
"The lipstick is okay overall, but the price is higher than expected and not worth it.",,,,negative,,,
"The smell is fine and not strong, but the price does not match the quality.",,,neutral,negative,,,
"The texture feels dry on my lips, and the price is still quite expensive.",,negative,,negative,,,
"I like the shade, but honestly the price is too much for a lipstick like this.",,,,negative,positive,,
"The product arrived on time, but the price feels too high for the quality.",,,,negative,,neutral,
"The packing looks fine, but the price is disappointing for such a basic lipstick.",,,,negative,,,neutral
"The lipstick feels light on the lips, but the price is clearly overpriced.",,positive,,negative,,,
"The color is just average, and the price is too high to justify buying again.",,,,negative,neutral,,
"It does not last very long on the lips, and the price makes it even more disappointing.",negative,,,negative,,,
"The texture is okay and not sticky, but the price is still too expensive.",,neutral,,negative,,,
"The smell is pleasant, but I feel the price is higher than it should be.",,,positive,negative,,,
"Shipping was a bit slow, and the price was still too high for this product.",,,,negative,,negative,
"The lipstick applies smoothly, but the price makes it hard to recommend.",,positive,,negative,,,
"The color payoff is fine, but the price feels unreasonable for daily use.",,,,negative,neutral,,
"The packaging is simple and okay, but the price is too high overall.",,,,negative,,,neutral
"It has no strong smell, but the price does not feel fair.",,,neutral,negative,,,
"The lipstick feels heavy on the lips, and the price makes it worse.",,negative,,negative,,,
"The shade is nice for everyday use, but the price is not affordable.",,,,negative,positive,,
"It arrived well packed, but the price still feels too high for me.",,,,negative,,,positive
"The product is average in performance, yet the price is above what I expected.",neutral,,,negative,,,
"The lipstick does not stay long, and the price makes it not worth buying.",negative,,,negative,,,
"The texture is soft, but the price is too high compared to similar brands.",,positive,,negative,,,
"The smell is not bad, but the price is not justified.",,,neutral,negative,,,
"The lipstick looks fine, but the price feels higher than its quality.",,,,negative,neutral,,
"Shipping was quick, but the price is still too expensive.",,,,negative,,positive,
