text,stayingpower,texture,smell,price,colour,shipping,packing
"the lipstick is quite ok. it goes on a bit fast, and the price feels reasonable for what it offers.",negative,,,neutral,positive,,
"pretty color, and the price is acceptable. it's a bit dry.",,negative,,neutral,positive,,
"the lipstick is extremely pretty but the delivery took a little while. i bought it on sale, so the price was standard for me.",,,,neutral,,negative,
"fast delivery, packaged normally, smooth material, quite soft on the lips.",,positive,,,,positive,neutral
"the matte lipstick is very nice, the color is beautiful, fast delivery, and the packaging was standard.",positive,neutral,,,positive,positive,neutral
i really like the lipstick ?? the color is beautiful and the price feels normal. next time i will support the shop more.,,,,neutral,positive,,
"son is very beautiful because i bought it as a gift, i can't see the color clearly, it's very good and worth buying.",,,,neutral,neutral,,
"bought in bulk during the flash sale after the 9/9 batch was canceled, but now i received the goods in standard packaging so i give 10 points?? color 25, i can't say anything kiki.",,,,,neutral,,neutral
"oh my god, the color 502 is super awesome. earthy pink orange, slightly nude, can be worn by any skin type. it's okay to go to school. the lipstick quality is quite ok, soft and smooth as the name suggests, there is no tint layer that sticks to it, so you should reapply it after about 2 to 3 hours. i really like it. the price feels appropriate for the quality.",,positive,,neutral,positive,,
"beautiful product, same as picture, beautiful lipstick color, slightly orange, quite similar to bbia 38 (38 on the left), asian powder lipstick quality, packaged as expected.",,negative,,,positive,,neutral
"the lipstick is so pretty :3 packaged securely shipper is friendly i don't like the smell of this lipstick very much, but it's so beautiful when applied the price feels acceptable will buy more to support the shop i'm lazy to take pictures so i took another photo to receive coins :v thanks.",,,negative,neutral,,positive,positive
the price feels reasonable.,,,,neutral,,,
delivery is okay. lipstick quality is ok. very fragrant. packaged normally.,,positive,positive,,,positive,neutral
"fast delivery, smooth powder, packaging is acceptable.",,,,,,positive,neutral
"the lipstick is so fragrant, i always use it and will continue to buy it even though it's on sale, the price feels reasonable, and the packaging is still very good.",,,positive,neutral,,,positive
"packaged normally, fast delivery, beautiful smooth lipstick color.",,positive,,,positive,positive,neutral
"the lipstick is so beautiful, packaged normally, friendly shipper, authentic, good smell :(().",,,positive,,,positive,neutral
"very pretty lipstick, received a free lip mask, color 402 is the best, the lipstick is smooth and beautiful, but it's a bit small for the size. will buy 3 or 4 402 bars to use gradually.",,positive,,neutral,positive,,
"the goods were packaged normally, the lipstick when opened had a scl scent, and the color was beautiful when tested.",,,positive,,positive,,neutral
"good product, sale price, very satisfied.",,,,neutral,,,
"the lipstick color is super beautiful, international product but shipping is also very fast. will buy again next time, the lipstick quality is quite ok for the price range.",,,,neutral,positive,positive,
"full delivery, reasonable price, excellent product quality. you should buy it, everyone.",,,,neutral,,neutral,
"beautiful product, but some of the glasses were misaligned during shipping and uncomfortable to wear. the bear hairpin was also misaligned but i still give the shop 5 stars??????",,,,neutral,,,
the color is very beautiful..... it's not matte and lasts a long time... it will wash off when you eat it but it won't dry out your lips... bought 2 for 99k... price feels standard.. overseas so shipping takes a while.,negative,positive,,neutral,positive,negative,
"the lipstick is quite similar to blackrouge's a12 color but a bit more brown, exactly the color of chocolate, but i don't really like the quality of the lipstick. i bought it on sale so my expectations were normal :).",,negative,,neutral,positive,,
"quite fast delivery, packaged normally. the earthy red color on my lips turned into earthy pink but still very beautiful.",,,,,positive,positive,neutral
"the lipstick color is very beautiful, packaged normally,................................",,,,,positive,,neutral
ugh buying lipstick products is really good smell is slightly unpleasant and not fragrant stable quality genuine package delivery is a bit fast.,,positive,negative,,,positive,neutral
"carefully packaged, fast delivery. i really like buying products on sale, the price feels fine. you should buy it, everyone.",,,,neutral,,positive,
chat with excellent product quality with product orders okiiiiiiiiiiiiiiiiiiiiiiii.,,,,,,,neutral
"delivery takes a while, about 10 days to arrive. quite satisfactory product, the price feels reasonable. already used, feeling quite satisfied with all products purchased. packaging quite safely.",,,,neutral,,negative,positive
"in my opinion, the lipstick takes quite a long time to dry. brushing can easily stick to your teeth. at this price level, my expectations were average. shipping took quite a while.",,negative,,neutral,,negative,
nice products fast delivery enthusiastic shop pack carefully will buy long term thanks shop you should buy it ??????,,,,neutral,,positive,positive
"uses: ok texture: ok color fastness: ok ok lip balm, price feels normal it's the end of the year so i'll have to wait a long time :( ..........",positive,positive,,neutral,,negative,
"excellent product quality, packaged normally.....",,,,,,,neutral
the lipstick color is beautiful but fades quickly. the shop packs the goods in a standard way.,negative,,,,positive,,neutral
"fast delivery, price feels reasonable, beautiful color ...................:::::",,,,neutral,positive,positive,
"international delivery takes a long time. the quality of the lipstick is super beautiful, the smell is very fragrant, and the price feels reasonable. love the belly.",,positive,positive,neutral,,negative,
"haven't tried the product yet, but i think it's on sale so i bought it to try, the price feels acceptable, ok, i'll buy again.",,,,neutral,,,
"enough items, packaged normally.",,,,,,,neutral
"carefully packaged, beautiful design, but the lipstick comes off very quickly. when you apply it, it disappears and doesn't stay on your lips for long.",negative,,,,,,neutral
just opened the package and i'm already very impressed with the lipstick. packaged in a standard inner box that looks neat. the important thing is that the lipstick is smooth and the color is super pretty. son held it heavily.,,positive,,,positive,,neutral
"product exactly as pictured, brand new delivery took a long time, ordered in august and only received in october. due to the pandemic, please understand. packaging was standard, took forever to open shipper nch is so boring, disrespectful to customers ??.",,,,,,negative,neutral
"i have bought here twice, delivery is very fast, packaging is solid, photos are for illustration purposes only.",,,,,,positive,neutral
"in general, okela, price feels normal, beautiful color, so don't expect premium quality.",,,,neutral,positive,,
