data,stayingpower,texture,smell,price,colour,shipping,packing
"Both bars are ok, suitable for my skin tone. Before I bought the v17 stick, the color was horrible, not as pretty as the picture. Anyone reading this review should avoid the color! Really advise",,,,,negative,,
Long delivery Package carefully Smooth lipstick Beautiful lipstick case But not persistent,negative,positive,,,,negative,positive
The product I received is very satisfactory. The wine color I chose is very beautiful on my lips. The product is both cheap and not beautiful.,,,,positive,positive,,
"The lipstick color is so pretty, I bought 1 get 1 free so the price is very good, highly recommend it uiii",,,,positive,positive,,
International shop but very fast delivery (about 6-7 days) Carefully packaged and shockproof The color in person is more beautiful than the color in the photo taken by the shop The quality of the lipstick is soft and the matteness is not very high The lipstick packaging is also not as good as the shop review video,negative,neutral,,,positive,positive,positive
"As for the shell, it's very beautiful. Objectively, I give it 10/10 because it feels so smooth in the hand The lipstick quality is ok, very matte, 8/10 If asked if I would buy it again, I probably would",positive,positive,,,,,
"Carefully packaged, fast delivery. The velvet cover looks very luxurious and overall I like it",,,,,,positive,positive
"Beautiful lipstick color. Seeing 12.12, set the time frame 0-2 o'clock and get a free keychain. Ordered at 0:20 but still not received.",,,,,positive,,
"Due to lighting, the color in the photo is a little brighter The lipstick has a pleasant scent and a smooth texture Due to international shipping, delivery took a while",,positive,positive,,,negative,
Super pretty lipstick with cheap price and super beautiful color everyone should buy…,,,,positive,positive,,
"Had to wait for delivery because of pre-order, the glossy black lipstick shell looks luxurious and the lipstick quality and color are on point. Please go away quickly",negative,positive,,,positive,,
"Cheap and beautiful, but some of the glasses were misaligned during shipping and uncomfortable to wear. The bear hairpin was also misaligned but I still give the shop 5 stars?",,,,positive,,,
"The color is quite ok, the shipping is quite fast, it's a little difficult to spread, the price is reasonable",,negative,,positive,positive,positive,
"The lipstick is very good, the color is beautiful on the lips, the scent is very pleasant?",,,positive,,positive,,
"Looking at the old tree, you can see how valuable this color is. The color is so pretty that it can handle any makeup and make your lips extremely smooth. It took a whole year to use up all the waste and then I used the lid to scrape it all off",,positive,,,positive,,
"International products may take a while to deliver, but the quality is ok and the price is right",,,,positive,,negative,
"Uses: beauty Texture: creamy Color fastness: not used yet so unknown The product is good, the packaging and delivery are not discussed, the shop responded to messages very attentively, and the facial cleanser I bought from another party received the goods at the same time so I took a photo :))",neutral,neutral,,,,positive,positive
"The lipstick good, the lipstick tip is a bit weak, the lipstick feels difficult to spread, fast delivery.",,negative,positive,,,positive,
"The lipstick is quite smooth and doesn't dry out the lips. The scent is a bit unpleasant, but in return the color is excellent and the price is above expectations.",,positive,negative,positive,positive,,
"The lipstick is very beautiful, smooth matte material, extremely fast shipping, I ordered it yesterday morning and received it this afternoon",positive,positive,,,,positive,
Pack the product well. Color 941 will look better on white skin. But the lipstick smell is a bit weird :( Give 9/10 VND,,,negative,,neutral,,positive
"Lipstick looks like the picture, beautiful color, fast delivery, carefully packaged, overall good value for money",,,,positive,positive,positive,positive
"Beautiful - genuine - cheap seeds, guys ? received the goods super fast, well packaged. 10 ? ?",,,,positive,,,positive
Uses: matte lipstick Texture: beautiful… Color fastness: fades quickly … …,negative,positive,,,,,
"The lipstick is smooth, has a delicious sicula smell, I want to eat it immediately, the lipstick is moisturizing so when I apply it it doesn't dry my lips. The color is quite standard, exactly the color I like. 10 VND",,positive,positive,,positive,,
The color is beautiful but it's a bit difficult to blend but still,,,,,positive,,
The photos and videos are all from a regular iPhone so you can see the lipstick color up close Super pretty,,,,,positive,,
"Foreign products take a while to deliver, the lipstick color is a bit brighter than the picture, it wears off quickly",negative,,,,negative,negative,
"The color on my hand is 404, there's no hint of pink, but it's still ok because the color is beautiful. The remaining color is not mine and cannot be peeled off.",,,,,positive,,
"Product is just like the picture, extremely good quality, fast delivery",,,,,,positive,
"Beautiful, no need to argue Good quality Fast delivery Should buya",,,,,,positive,
"Oh, the packaging is super good, the lipstick color is amazing, and there's also such a cute card.",,,,,positive,,positive
"Super fast delivery, received the goods in just over 1 day, carefully packaged",,,,,,positive,positive
"The color of the lipstick is a little too pretty, so it's ok. The lipstick is in general, you should buy it",,,positive,,positive,,
"Beautiful lipstick, enough, cheap, securely packaged,",,,,positive,,,positive
"Overseas delivery takes a long time. I haven't tested the quality of the lipstick on my lips yet. I don't know if it will dry my lips, but I tested it on my hand and it's very smooth.",,positive,,,,negative,
"I really like using it. At first I thought the lipstick would weigh down my lips but it doesn't, the chocolate smell is so fragrant",,positive,positive,,,,
The color is right but it's a bit dull. Doesn't hold the color at all Punnn. I say just wipe it once and it'll be like nothing happened…,negative,,,,positive,,
"The product is both cheap and good quality, but the lipstick smell is a bit unpleasant, so if you don't like it, consider it",,,negative,positive,,,
"The product is very genuine, the cow has a very pretty color, the package definitely has a card, it's very cute. The cheese the lipstick is very beautiful to test on the lips, although due to the pandemic, the delivery took a while, but I sympathize with the shop. The sale price is very good. Everyone should watch the sale to buy, especially if there will be a flashsale tonight, August 15th, everyone.",,,,positive,positive,neutral,positive
"Quality guaranteed with price Beautiful lipstick, ok packaging Long delivery",,,,positive,,negative,
"The lipstick was delivered quickly, but the quality is not very smooth. I thought it was cheap so I bought it to try but don't expect much",,negative,,positive,,positive,
"The lipstick doesn't stick to the lips, wears off very quickly, the lipstick color is bad on the lips, looks terrible, don't buy it",negative,,,,negative,,
"I ordered 5 lipsticks but the shop gave me 6 :v due to the pandemic and the end of the year, shipping took longer than normal, but it still arrived before Tet hihi.",,,,,,negative,
"It's an international product so you have to wait a bit. When I tested the lipstick, the color wasn't quite right, but for this price it's ok",,,,positive,negative,negative,
"Delivery took a while, well packaged, got a good deal so overall it's ok",,,,positive,,negative,positive
"Fast delivery, carefully packaged. Beautiful color and scent…",,,positive,,positive,positive,positive
Uses: New lipstick Texture: creamy Color fastness: cannot be wiped off Product packaging is not secure,negative,neutral,,,,,negative
"The color is so pretty, everyone. Looking seductive too. Apply the first layer of lipstick if you like it gentle. I leave it on for about 15-30 seconds and add another layer of lipstick to make it darker and look very sexy.",,,,,positive,,
"Genuine fast delivery, cheap price Will buy more soon",,,,positive,,positive,
"The lipstick has a light scent and it's ok if you apply it on your hands, but try to apply it on your lips so I don't know but the sale price is also cheap like this, it's great.",,,positive,positive,positive,,
"This time the delivery took a bit long, but after receiving the goods to test, it seems to work fine. The design is also beautiful, I give it 5s.",,,,,,negative,
The lipstick color is beautiful and the color is quite smooth on the lips The selling price of hunting medicine is quite satisfactory I should buy it,,positive,,positive,positive,,
"The product is quite ok, securely packaged, fast delivery. Worth the money to buy.",,,,positive,,positive,positive
"The lipstick has a genuine color and is a bit dry when applied However, at this price it's a great deal",,negative,,positive,positive,,
"The lipstick is cheap but the quality is soft and smooth, and the application is okay compared to the price",,positive,,positive,,,
"The velvety texture is beautiful and the color is easy to wear, so you can take it with you to reapply throughout the day.",negative,positive,,,positive,,
"Packaging is so beautiful This color is beautiful, I see that beauty bloggers this color as the easiest to use",,,,,positive,,
"The shop delivered relatively quickly, delivered all the correct colors, and will continue to support you in the future",,,,,positive,positive,
"Uses: lipstick and acne treatment Texture: good Color fastness: good The lipstick is soft and smooth, packed well. Because of my stubbornness, I tore the bag of acne patches?",positive,positive,,,,,positive
"Due to the pandemic, delivery took a bit longer. The color on my hand is beautiful but it's too pink on my lips. The outside package is dented but the inside is packed carefully?",,,,,negative,negative,positive
"The lipstick is so beautiful, everyone, the packaging is beautiful, the sweet peach scent and the design are nothing to criticize. 403 is so amazing, I bought 2 bars on sale for less than 50k and feel very satisfied. Buy it",,,positive,positive,,,
"Buy 2 get 3, very satisfied, much cheaper than the shop in the district but still genuine. Choosing colors that are almost the same is a bit of a shame. ?",,,,positive,negative,,
"Beautiful lipstick color, sturdy packaging",,,,,positive,,positive
"Shopee mall packed the goods securely, the lipstick color is beautiful, so the goods will be received from 9/9",,,,,positive,negative,positive
"The lipstick is beautiful and fragrant. You should buy it, everyone Hit it up so pretty",,,positive,,,,
"The lipstick is so smooth, I should buy it",,positive,,,,,
"Beautiful lipstick, color is a little brighter than described, beautiful fragrance from outside to inside",,,positive,,positive,,
"Fast delivery, packaged product to ensure delivery of the correct type ordered",,,,,,positive,positive
"Uses: shipping takes a while because it's coral pink so it's only suitable for white skin, so it's still beautiful if you like it ? Texture: quite soft, it feels very soft and spongy on the lips :))))) Color fastness: wash it off and it will come off It's so beautiful, cx",negative,positive,,,positive,negative,
"The lipstick has beautiful color, smooth lips, pleasant fragrance, good quality product, fast delivery, will continue to support",,positive,positive,,positive,positive,
"In my personal opinion, the lipstick is not very good, it is very difficult to apply, and the eyeliner is very good, there is nothing to complain about. With such a cheap price, I cannot ask for very good lipstick, but really, you should just buy it to try it out to see if you feel ok with the quality of the lipstick or not, then you should definitely buy more.",,negative,,positive,,,
"The lipstick is very clean, fast delivery chat, the lipstick color is very good, everyone should buy it",,,,,positive,positive,
"The color is so pretty, it's so beautiful, it's worth the money",,,,positive,positive,,
"Received goods in full and correct color. Even though it's a translation and from abroad, delivery takes a long time. Haven't used it yet so don't know how it works. It's probably ok because my sister told me to give her one stick so I think it's ok",,,,,positive,negative,
Pretty color Cheap price so don't expect much Worth buying,,,,positive,positive,,
"Super cute lipstick, beautiful color, soft lips, Ksjajshahahajajnsbzzjsoakznxbbxxjsjjajaja",,positive,,,positive,,
"The lipstick is only 2.5g, 1/2 the price of other lipsticks, so it's not that cheap. The color is clear when swatched, but it doesn't show the correct color on the lips. It's ok to use as a base. The lipstick doesn't have a tint, it wears off quickly",negative,,,neutral,negative,,
Okee products are packed carefully Shipper is friendly Unrelated images :((,,,,,,positive,positive
"I don't like the smell of lipstick very much, like the chemical smell in the 3-4k nail polish bottles I used to buy at the market when I was a kid. The color I bought is 924-brown red, the color is quite good, I only tested it on my lips so I don't have a specific feeling?",,,negative,,positive,,
"Great product quality, reasonable price, you should buy the full collection",,,,positive,,,
That pink shell is so pretty. The lipstick is quite soft and smooth. But the lipstick comes off very easily :(((,negative,positive,,,,,
"The lipstick color is so pretty and has a delicious chocolate smell, you should buy it",,,positive,,positive,,
