text,stayingpower_pred,stayingpower_conf,stayingpower_true,texture_pred,texture_conf,texture_true,smell_pred,smell_conf,smell_true,price_pred,price_conf,price_true,colour_pred,colour_conf,colour_true,shipping_pred,shipping_conf,shipping_true,packing_pred,packing_conf,packing_true,msr_resolution,conflict_score
beautifully colored lipstick definitely contributes this is also the first time i bought lipstick on shopee. i always support the shop??,positive,0.9849,None,positive,0.9852,None,positive,0.9971,None,positive,0.9996,None,positive,0.991,positive,positive,0.7565,None,positive,0.9992,positive,Overall Positive,0.0
uses: totso texture: huhc color fastness: ok hfuffufkdufjjvk kgigrgikbbugdu ogvvcjdytsifvjg gjvcjhchxdyvjgvjgu icvivf,neutral,0.8178,positive,neutral,0.7163,neutral,positive,0.9216,None,positive,0.9839,None,neutral,0.6827,None,positive,0.7143,None,positive,0.9861,None,Overall Positive,0.0
the lipstick color is extremely beautiful ?? you should buy the image to receive coins cdgjsjsjsjsbsbbsbsbsbxbxxxbhsbbsbsbsbsbsbsbsbbbsbsbsbsbsbsbsbsbbsbsbsbsbsbbsbsbdbdbbdbdbdbdbdbdbdbvvvdvvdvvdvvdvvdbv,positive,0.9834,None,positive,0.9783,None,positive,0.9961,None,positive,0.9997,None,positive,0.9981,positive,positive,0.827,None,positive,0.9993,None,Overall Positive,0.0
i think this lipstick color is very beautiful. feels very smooth when applied to the lips. the lipstick sticks tightly like a magnet,positive,0.9826,positive,positive,0.9955,positive,positive,0.9967,None,positive,0.9995,None,positive,0.9854,positive,positive,0.8167,None,positive,0.9991,None,Overall Positive,0.0
"uses: 10 points texture: dac color fastness: 5-6 h u is a very pretty color, this is the lipstick i've worn the most so far. brushing on your skin really whitens your teeth!!!! 10 minutes",positive,0.5239,positive,neutral,0.8345,neutral,positive,0.9798,None,positive,0.9957,None,positive,0.8464,positive,positive,0.7606,None,positive,0.9943,None,Overall Positive,0.0
"i've been waiting for a long time, but the process of packing and sending goods to customers is a bit long and can be ignored. really excellent lipstick color. well worth buying",positive,0.837,None,positive,0.8586,None,positive,0.9766,None,positive,0.998,None,positive,0.9624,positive,negative,0.9851,negative,positive,0.9943,None,MIXED,0.8383
"the color is beautiful, the packaging is very okeeeeee, if i have the opportunity i will support it",positive,0.9835,None,positive,0.9709,None,positive,0.9973,None,positive,0.9997,None,positive,0.9946,positive,positive,0.7919,None,positive,0.9993,positive,Overall Positive,0.0
the lipstick is beautiful but delivery took a bit longer sorry for not having photos to send to the shop will support for a long time,positive,0.8472,None,positive,0.8718,None,positive,0.98,None,positive,0.998,None,positive,0.9497,None,negative,0.9823,negative,positive,0.9944,None,MIXED,0.8366
"do not buy it!!!! shop nt will never respond to customers buy 2 lipsticks 01, but get 02. what the hell???? everyone be careful",negative,0.4737,None,negative,0.6835,None,positive,0.3757,None,positive,0.8268,None,negative,0.8459,None,negative,0.5724,negative,positive,0.57,None,MIXED,1.0499
"the lipstick is so pretty, it's so cheap, i bought it twice and the color is perfect, my lips are smooth, the smell is a bit horrible",positive,0.7875,None,positive,0.9116,positive,negative,0.918,negative,positive,0.9755,None,positive,0.8864,positive,positive,0.7612,None,positive,0.884,None,MIXED,0.7804
"purchased during the epidemic season from august 8 to october 4, new delivery ???? first time using this color, hope you like it to avoid disappointment after waiting for so long",positive,0.5927,None,positive,0.535,None,positive,0.8381,None,positive,0.98,None,neutral,0.408,neutral,negative,0.9647,negative,positive,0.9573,None,MIXED,0.7735
"i thought it was beautiful, but it was beautiful, i thought the lipstick was smooth but also fragrant. i waited for my order forever and finally i received it",positive,0.8237,None,positive,0.9685,positive,positive,0.9913,positive,positive,0.9984,None,positive,0.941,None,negative,0.9456,None,positive,0.9973,None,MIXED,0.8115
"the lipstick is so pretty, i applied the discount code so i didn't have to pay for this product, it's like getting it for free, it's just yiwu warehouse so delivery takes so long",positive,0.7886,None,positive,0.8004,None,positive,0.9736,None,positive,0.9973,positive,positive,0.8952,None,negative,0.98,negative,positive,0.9931,None,MIXED,0.8306
the lipstick color is beautiful but the lipstick is not very smooth and dries quickly. i applied lipstick before i could even blend it and it was dry -.-,positive,0.7024,None,negative,0.9707,negative,positive,0.5198,None,positive,0.9512,None,positive,0.8151,positive,positive,0.545,None,positive,0.6184,None,MIXED,0.7868
"great product quality, well worth the money. pictures and videos are for coin recognition purposes only",positive,0.9843,None,positive,0.9935,None,positive,0.9966,None,positive,0.9994,positive,positive,0.9789,None,positive,0.6362,None,positive,0.9991,None,Overall Positive,0.0
"great. it's great, everyone. ladies you should buy it. it's cheap but the color is so beautiful. oh, when i picked up the lipstick, i fainted",positive,0.9803,None,positive,0.9651,None,positive,0.9966,None,positive,0.9996,positive,positive,0.9956,positive,positive,0.8355,None,positive,0.9992,None,Overall Positive,0.0
bbia a25 is a legend. this is the first lipstick i've used for the third time and still like it,positive,0.9677,None,positive,0.8631,None,positive,0.9957,None,positive,0.9993,None,positive,0.9772,positive,positive,0.7377,None,positive,0.9987,None,Overall Positive,0.0
"beautiful lipstick color, good quality, fast delivery, very attentive shop. images and videos are for coin-receipt purposes",positive,0.9289,None,positive,0.9893,None,positive,0.9917,None,positive,0.9992,None,positive,0.9929,positive,positive,0.9981,positive,positive,0.9986,None,Overall Positive,0.0
"uses: fast delivery, quality product packaging texture: beautiful color fastness: quite long lasting",positive,0.9319,positive,positive,0.968,positive,positive,0.9899,None,positive,0.999,None,positive,0.9894,None,positive,0.9984,positive,positive,0.9981,positive,Overall Positive,0.0
the color is quite nice and smells of chocolate. but international delivery takes a bit longer,positive,0.8625,None,positive,0.9229,None,positive,0.9847,positive,positive,0.9984,None,positive,0.9713,positive,negative,0.9832,negative,positive,0.9956,None,MIXED,0.8393
delivery took a little while but the lipstick looks beautiful. i can check the code... i haven't opened it yet because i haven't used it yet. i don't know if this color suits my skin or not ??????,neutral,0.8025,None,neutral,0.5839,None,positive,0.8326,None,positive,0.9681,None,neutral,0.6585,neutral,negative,0.9,negative,positive,0.9637,None,MIXED,0.679
"the lipstick is beautiful but dries too quickly, before even applying it, it dries on my lips",negative,0.6165,None,negative,0.9732,negative,positive,0.641,None,positive,0.959,None,positive,0.7883,None,positive,0.6547,None,positive,0.7615,None,MIXED,1.1212
"the product is as beautiful as the picture and has the scent of chocolate, worth buying gnasgsks tendonuanbdidnhdjdidndjdidns sibehdkshaiwnsjdnxnnxhdhhe",positive,0.986,None,positive,0.9918,None,positive,0.9973,positive,positive,0.9995,None,positive,0.9876,None,positive,0.7385,None,positive,0.9993,None,Overall Positive,0.0
"beautiful lipstick, fast delivery, color exactly as pictured, looks beautiful on lips, price is too cheap, will continue to support",positive,0.9431,None,positive,0.991,None,positive,0.9934,None,positive,0.9994,positive,positive,0.9926,positive,positive,0.9974,positive,positive,0.9988,None,Overall Positive,0.0
"the product is suitable for the price. at first, the lipstick smells a bit harsh, but after a while it evaporates and gives off a bit of a chocolate scent",negative,0.6123,None,positive,0.5123,None,negative,0.9234,neutral,positive,0.9322,positive,positive,0.3685,None,positive,0.4127,None,positive,0.5024,None,MIXED,0.9826
uses: the color is super pretty texture: apply beautifully color fastness: very long lasting the lipstick is super pretty.,positive,0.959,positive,positive,0.8372,positive,positive,0.9944,None,positive,0.9992,None,positive,0.989,positive,positive,0.8092,None,positive,0.9985,None,Overall Positive,0.0
genuine mall products with guaranteed quality the lipstick color is beautiful pack carefully,positive,0.9882,None,positive,0.9907,None,positive,0.997,None,positive,0.9997,None,positive,0.9944,positive,positive,0.8348,None,positive,0.9994,positive,Overall Positive,0.0
"the lipstick is very beautiful, very suitable for the price, worth the purchase and delivery takes a bit",positive,0.8759,None,positive,0.9115,None,positive,0.9835,None,positive,0.9985,positive,positive,0.9711,None,negative,0.9835,negative,positive,0.9957,None,MIXED,0.8396
"the lipstick color is very beautiful, stays on the lips for a long time, satisfied with the product and service but delivery does not take too long",negative,0.9874,positive,positive,0.807,None,positive,0.9528,None,positive,0.9953,None,positive,0.9813,positive,negative,0.8203,positive,positive,0.9944,None,MIXED,1.3079
"beyond my imagination?? the color is beautiful, smooth, doesn't dry my lips and the price is cheap??",positive,0.9816,None,positive,0.9973,positive,positive,0.9955,None,positive,0.9994,positive,positive,0.9876,positive,positive,0.7635,None,positive,0.9991,None,Overall Positive,0.0
