data,stayingpower,texture,smell,price,colour,shipping,packing
The lipstick color looks nice and the texture is smooth. The smell is just normal and does not really stand out.,,positive,neutral,,positive,,
The smell is very light and feels normal. The price is reasonable and the color is acceptable for daily use.,,,neutral,neutral,neutral,,
The lipstick is smooth when applied and the smell is not noticeable. The color is standard and matches the picture.,,positive,neutral,,positive,,
The smell is neutral and does not bother me. The price feels a bit high for this quality.,,,neutral,negative,,,
The color is pretty and the lipstick feels soft. The smell is normal and fades quickly after applying.,,positive,neutral,,positive,,
The lipstick arrived well packed and on time. The smell is neutral and nothing special.,,,neutral,,,positive,positive
The smell feels normal and does not affect usage. The texture is a bit dry for my lips.,,negative,neutral,,,,
The price is affordable and the color looks fine. The smell is light and acceptable.,,,neutral,positive,neutral,,
The lipstick does not have a strong smell and feels normal. The staying power is average.,neutral,,neutral,,,,
The color is okay and the texture is smooth enough. The smell is neutral and not distracting.,,neutral,neutral,,neutral,,
The smell is mild and feels normal. The packaging is simple but fine.,,,neutral,,,,neutral
"The lipstick feels a bit dry, but the smell is neutral and easy to accept.",,negative,neutral,,,,
The smell is not strong and feels normal. The color is slightly lighter than expected.,,,neutral,,negative,,
The lipstick has a normal smell and applies smoothly. The price is fair for the quality.,,positive,neutral,neutral,,,
The smell is neutral and does not linger. The lipstick wears off after a few hours.,negative,,neutral,,,,
The smell is light and feels normal. The color and texture are both acceptable.,,neutral,neutral,,neutral,,
The lipstick arrived quickly and in good condition. The smell is neutral and not noticeable.,,,neutral,,,positive,positive
The smell is normal and does not cause discomfort. The texture feels slightly thick.,,neutral,neutral,,,,
The color looks fine and the smell is neutral. The price is a bit expensive for me.,,,neutral,negative,neutral,,
The smell does not stand out and feels normal. The lipstick texture is smooth enough.,,positive,neutral,,,,
"The color is vibrant and beautiful, and the smell is okay, just a standard lipstick scent.",,,neutral,,positive,,
Texture is a bit dry but the price is cheap. The smell is faint and not bothering.,,negative,neutral,positive,,,
"Shipping took a while. The lipstick smells like vanilla but very lightly, it is fine.",,,neutral,,,negative,
"The packaging is cute. It has a slight chemical smell but it goes away instantly, so it is acceptable.",,,neutral,,,,positive
"The staying power is great. The smell is nothing special, just a regular makeup smell.",positive,,neutral,,,,
I bought this because of the color. The smell is a bit sweet but manageable.,,,neutral,,positive,,
"The price is a bit high. The smell is neutral, I don't really smell anything.",,,neutral,negative,,,
"It applies smoothly. The scent is subtle, not strong like other brands.",,positive,neutral,,,,
"The box was dented. The lipstick smells like fruit, it is okay.",,,neutral,,,,negative
"Not my favorite color. The smell is bearable, not too intense.",,,neutral,,negative,,
"Fast delivery. The smell is just like playdough but very faint, doesn't bother me.",,,neutral,,,positive,
"The lipstick is soft. Smell is average, not good but not bad.",,positive,neutral,,,,
Cheap and good quality. The smell is a bit waxy but acceptable for the price.,,positive,neutral,positive,,,
The color fades quickly. The smell is light and disappears after application.,negative,,neutral,,,,
Packaging is sturdy. It has a mild scent that I don't mind.,,,neutral,,,,positive
"The texture is clumpsy. The smell is okay, nothing to complain about.",,negative,neutral,,,,
It smells a little like chocolate but very weak. Staying power is decent.,positive,,neutral,,,,
"Shipping was expensive. The smell is standard, neither pleasant nor unpleasant.",,,neutral,,,negative,
"The color is accurate to the photo. Smell is fine, just a bit powdery.",,,neutral,,positive,,
"Price is reasonable. The scent is very subtle, almost fragrance-free.",,,neutral,positive,,,
The lipstick arrived broken. The smell is just a normal wax scent.,,,neutral,,,,negative
It feels heavy on lips. The smell is a bit sweet but okay.,,negative,neutral,,,,
"Good pigment. The smell is not overpowering, quite neutral.",,,neutral,,positive,,
The shop packed it well. Smell is barely there.,,,neutral,,,,positive
"It doesn't stick. The smell is tolerable, a bit artificial but faint.",negative,,neutral,,,,
"Beautiful shade. The smell is common, like old lipstick but not strong.",,,neutral,,positive,,
Texture is creamy. Smell is negligible.,,positive,neutral,,,,
