data,stayingpower,texture,smell,price,colour,shipping,packing,text_clean,signature
"The color is quite similar to the lipstick picture, but I like more pink than buying 203",,,,,positive,,,"the color is quite similar to the lipstick picture, but i like more pink than buying 203",stayingpower:na|texture:na|smell:na|price:na|colour:positive|shipping:na|packing:na
This item was ordered on January 2nd due to border congestion so it arrived a bit late but still ok,,,,,,negative,,this item was ordered on january 2nd due to border congestion so it arrived a bit late but still ok,stayingpower:na|texture:na|smell:na|price:na|colour:na|shipping:negative|packing:na
"Dries quickly, is super waterproof, I scrubbed vigorously under the tap but nothing happened!  More than the expensive kind",positive,,,,,,,"dries quickly, is super waterproof, i scrubbed vigorously under the tap but nothing happened! more than the expensive kind",stayingpower:positive|texture:na|smell:na|price:na|colour:na|shipping:na|packing:na
"Uses: Good
Texture: Good
Color fastness: Good ??
The lipstick has a beautiful color and is so easy to admire??hhhhhhhhhhhh",positive,positive,,,positive,,,uses: good texture: good color fastness: good ?? the lipstick has a beautiful color and is so easy to admire??hhhhhhhhhhhh,stayingpower:positive|texture:positive|smell:na|price:na|colour:positive|shipping:na|packing:na
"The lipstick is so beautifuleeeeeeee??????
Be super stubborn, ladies ????????????????????????",positive,,,,,,,"the lipstick is so beautifuleeeeeeee?????? be super stubborn, ladies ????????????????????????",stayingpower:positive|texture:na|smell:na|price:na|colour:na|shipping:na|packing:na
"Apply to very soft lips
Go quickly
But when wiped, there is still a pink layer left behind",negative,positive,,,,,,"apply to very soft lips go quickly but when wiped, there is still a pink layer left behind",stayingpower:negative|texture:positive|smell:na|price:na|colour:na|shipping:na|packing:na
"The lipstick is super pretty, the quality is great, and the smell is also fragrant.",,positive,positive,,,,,"the lipstick is super pretty, the quality is great, and the smell is also fragrant.",stayingpower:na|texture:positive|smell:positive|price:na|colour:na|shipping:na|packing:na
"The merzy color is slightly red, it's pretty when applied and the earthy orange is also ok and smells of chocolate",,,positive,,positive,,,"the merzy color is slightly red, it's pretty when applied and the earthy orange is also ok and smells of chocolate",stayingpower:na|texture:na|smell:positive|price:na|colour:positive|shipping:na|packing:na
"I really like it and will support it for a long time. Satisfactory color, soft and smooth lipstick",,positive,,,positive,,,"i really like it and will support it for a long time. satisfactory color, soft and smooth lipstick",stayingpower:na|texture:positive|smell:na|price:na|colour:positive|shipping:na|packing:na
"Uses: Pink lips.
Texture: ...
Color fastness: ....
It's very soft. I find applying a layer of lip balm first and then applying the lipstick makes it easier to spread.
It took a while to ship, but in return, the guy who shipped it was so cute.",,positive,,,,neutral,,"uses: pink lips. texture: ... color fastness: .... it's very soft. i find applying a layer of lip balm first and then applying the lipstick makes it easier to spread. it took a while to ship, but in return, the guy who shipped it was so cute.",stayingpower:na|texture:positive|smell:na|price:na|colour:na|shipping:neutral|packing:na
