data,stayingpower,texture,smell,price,colour,shipping,packing
"The packaging is simple and does its job, nothing special. The lipstick texture feels smooth on the lips.",,positive,,,,,neutral
Packing was okay and the box arrived without damage. The color looks nice when applied.,,,,,positive,,neutral
"The packaging is just normal, nothing fancy. The lipstick feels a bit dry after some time.",,negative,,,,,neutral
The product was packed simply and arrived fine. Shipping took a few days but was acceptable.,,,,,,neutral,neutral
"Packaging is okay, no extra protection. The lipstick has a light smell.",,,neutral,,,,neutral
The packaging looks average but keeps the product safe. The color matches the photo.,,,,,positive,,neutral
"Packed in a basic box, nothing more. The lipstick does not last very long.",negative,,,,,,neutral
The packaging is ordinary and acceptable. The texture feels okay on the lips.,,neutral,,,,,neutral
Packaging was not tight but the product arrived fine. The smell is a bit noticeable.,,,negative,,,,neutral
The packing is simple and clean. Shipping was quick.,,,,,,positive,neutral
Packaging is nothing special but acceptable. The lipstick color is quite pretty.,,,,,positive,,neutral
The box packaging is okay and not damaged. The lipstick feels light on the lips.,,positive,,,,,neutral
"Packing was just normal, nothing to complain about. The price feels reasonable.",,,,neutral,,,neutral
The packaging is fine and keeps the lipstick safe. The smell is pleasant.,,,positive,,,,neutral
Packaging is simple and clean. The lipstick fades after a few hours.,negative,,,,,,neutral
"The product was packed normally, no damage. The texture feels a bit dry.",,negative,,,,,neutral
"Packaging is acceptable, nothing extra. The lipstick color is okay.",,,,,neutral,,neutral
The packing is average and arrived without issues. Shipping was a bit slow.,,,,,,negative,neutral
Packaging is okay for this type of product. The lipstick feels smooth when applied.,,positive,,,,,neutral
The packaging is simple but practical. The price seems fair.,,,,neutral,,,neutral
Packing was done normally and the box was fine. The lipstick smells a bit strong.,,,negative,,,,neutral
The packaging does not look fancy but works. The lipstick color is wearable.,,,,,positive,,neutral
Packaging is standard and arrived fine. The texture is average.,,neutral,,,,,neutral
"The packing is just okay, nothing damaged. The lipstick does not last long.",negative,,,,,,neutral
Packaging is simple and acceptable. Shipping was fast.,,,,,,positive,neutral
The packaging is neat enough. The lipstick texture feels comfortable.,,positive,,,,,neutral
"Packing is okay, but there was no extra protection. The smell is light.",,,neutral,,,,neutral
The box packaging is average and fine. The color is not very bright.,,,,,negative,,neutral
Packaging is normal and arrived safely. The price is acceptable.,,,,neutral,,,neutral
"The packing is simple, no damage seen. The lipstick feels a bit heavy.",,negative,,,,,neutral
Packaging is okay and not messy. The lipstick has a nice smell.,,,positive,,,,neutral
The product was packed normally. Shipping took about a week.,,,,,,neutral,neutral
Packaging is average and acceptable. The lipstick texture is smooth.,,positive,,,,,neutral
"The packing is fine, not too tight. The color looks different in person.",,,,,negative,,neutral
Packaging is simple and clean. The lipstick stays for a few hours.,neutral,,,,,,neutral
"The box packaging is okay, no dents. The texture feels slightly dry.",,negative,,,,,neutral
Packaging is ordinary but acceptable. The lipstick color is soft.,,,,,positive,,neutral
The product was packed okay and arrived safely. The price feels reasonable.,,,,neutral,,,neutral
Packaging is fine and simple. The lipstick smell is not very strong.,,,neutral,,,,neutral
The packing is average and does not affect the product. The texture is okay.,,neutral,,,,,neutral
Packaging is just normal. Shipping was a bit slow.,,,,,,negative,neutral
The box packaging is okay and clean. The lipstick feels comfortable.,,positive,,,,,neutral
"Packaging is acceptable, nothing special. The color is average.",,,,,neutral,,neutral
The product came with simple packaging. The lipstick does not last all day.,negative,,,,,,neutral
Packaging is normal and arrived without damage. The smell is pleasant.,,,positive,,,,neutral
The packing is just okay. The lipstick texture feels smooth enough.,,positive,,,,,neutral
Packaging is basic but fine. The price is acceptable for the quality.,,,,neutral,,,neutral
The box packaging is average. The lipstick stays on for a short time.,negative,,,,,,neutral
"The box was slightly dented when it arrived, but the product inside is completely fine. The lipstick color is very vibrant.",,,,,positive,,neutral
"Packaging is nothing special, just a standard cardboard box. The texture of the cream is quite smooth though.",,positive,,,,,neutral
"They wrapped it in bubble wrap which is okay, but I expected a proper box for this price. The smell is pleasant.",,,positive,negative,,,neutral
"The shop packed it simply in a paper bag, fortunately nothing broke. Delivery took a bit long.",,,,,,negative,neutral
