text,stayingpower_pred,stayingpower_conf,stayingpower_true,texture_pred,texture_conf,texture_true,smell_pred,smell_conf,smell_true,price_pred,price_conf,price_true,colour_pred,colour_conf,colour_true,shipping_pred,shipping_conf,shipping_true,packing_pred,packing_conf,packing_true,msr_resolution,conflict_score
beautifully colored lipstick definitely contributes this is also the first time i bought lipstick on shopee. i always support the shop??,positive,0.802,None,positive,0.756,None,positive,0.9037,None,positive,0.9285,None,positive,0.9066,positive,neutral,0.554,None,positive,0.9239,positive,Overall Positive,0.0
uses: totso texture: huhc color fastness: ok hfuffufkdufjjvk kgigrgikbbugdu ogvvcjdytsifvjg gjvcjhchxdyvjgvjgu icvivf,neutral,0.5652,positive,neutral,0.7205,neutral,positive,0.7616,None,positive,0.848,None,positive,0.8122,None,positive,0.5673,None,positive,0.8424,None,Overall Positive,0.0
the lipstick color is extremely beautiful ?? you should buy the image to receive coins cdgjsjsjsjsbsbbsbsbsbxbxxxbhsbbsbsbsbsbsbsbsbbbsbsbsbsbsbsbsbsbbsbsbsbsbsbbsbsbdbdbbdbdbdbdbdbdbdbvvvdvvdvvdvvdvvdbv,positive,0.7922,None,positive,0.6367,None,positive,0.869,None,positive,0.9047,None,positive,0.9334,positive,neutral,0.5956,None,positive,0.8965,None,Overall Positive,0.0
i think this lipstick color is very beautiful. feels very smooth when applied to the lips. the lipstick sticks tightly like a magnet,positive,0.7963,positive,positive,0.8925,positive,positive,0.9256,None,positive,0.9488,None,positive,0.868,positive,neutral,0.7213,None,positive,0.9266,None,Overall Positive,0.0
"uses: 10 points texture: dac color fastness: 5-6 h u is a very pretty color, this is the lipstick i've worn the most so far. brushing on your skin really whitens your teeth!!!! 10 minutes",neutral,0.5758,positive,neutral,0.7935,neutral,positive,0.693,None,positive,0.7936,None,positive,0.8407,positive,positive,0.4032,None,positive,0.8052,None,Overall Positive,0.0
"i've been waiting for a long time, but the process of packing and sending goods to customers is a bit long and can be ignored. really excellent lipstick color. well worth buying",negative,0.5747,None,negative,0.6575,None,positive,0.6894,None,positive,0.7629,None,positive,0.7111,positive,negative,0.8687,negative,positive,0.5893,None,MIXED,1.1915
"the color is beautiful, the packaging is very okeeeeee, if i have the opportunity i will support it",positive,0.7498,None,positive,0.7074,None,positive,0.8814,None,positive,0.9097,None,positive,0.8896,positive,neutral,0.6162,None,positive,0.8938,positive,Overall Positive,0.0
the lipstick is beautiful but delivery took a bit longer sorry for not having photos to send to the shop will support for a long time,negative,0.5574,None,positive,0.5541,None,positive,0.7526,None,positive,0.8362,None,positive,0.7301,None,negative,0.8636,negative,positive,0.7782,None,MIXED,1.0229
"do not buy it!!!! shop nt will never respond to customers buy 2 lipsticks 01, but get 02. what the hell???? everyone be careful",negative,0.6678,None,negative,0.7921,None,negative,0.5053,None,negative,0.5769,None,negative,0.6482,None,negative,0.6441,negative,negative,0.8356,None,Overall Negative,0.0
"the lipstick is so pretty, it's so cheap, i bought it twice and the color is perfect, my lips are smooth, the smell is a bit horrible",positive,0.5018,None,positive,0.6414,positive,negative,0.8003,negative,positive,0.8333,None,positive,0.628,positive,positive,0.4265,None,positive,0.7393,None,MIXED,0.6602
"purchased during the epidemic season from august 8 to october 4, new delivery ???? first time using this color, hope you like it to avoid disappointment after waiting for so long",positive,0.47,None,positive,0.6931,None,positive,0.7388,None,positive,0.7853,None,positive,0.5682,neutral,negative,0.6944,negative,positive,0.7553,None,MIXED,0.5919
"i thought it was beautiful, but it was beautiful, i thought the lipstick was smooth but also fragrant. i waited for my order forever and finally i received it",positive,0.4494,None,positive,0.8551,positive,positive,0.8229,positive,positive,0.8846,None,positive,0.7917,None,negative,0.7821,None,positive,0.8872,None,MIXED,0.6703
"the lipstick is so pretty, i applied the discount code so i didn't have to pay for this product, it's like getting it for free, it's just yiwu warehouse so delivery takes so long",negative,0.513,None,positive,0.6899,None,positive,0.7583,None,positive,0.8566,positive,positive,0.7702,None,negative,0.8565,negative,positive,0.8381,None,MIXED,1.0145
the lipstick color is beautiful but the lipstick is not very smooth and dries quickly. i applied lipstick before i could even blend it and it was dry -.-,positive,0.5762,None,negative,0.7639,negative,negative,0.6383,None,positive,0.7222,None,positive,0.7926,positive,neutral,0.3815,None,positive,0.5337,None,MIXED,0.9139
"great product quality, well worth the money. pictures and videos are for coin recognition purposes only",positive,0.7899,None,positive,0.7477,None,positive,0.8865,None,positive,0.919,positive,positive,0.8941,None,neutral,0.6708,None,positive,0.8961,None,Overall Positive,0.0
"great. it's great, everyone. ladies you should buy it. it's cheap but the color is so beautiful. oh, when i picked up the lipstick, i fainted",positive,0.7119,None,positive,0.5962,None,positive,0.825,None,positive,0.891,positive,positive,0.9431,positive,positive,0.4711,None,positive,0.8822,None,Overall Positive,0.0
bbia a25 is a legend. this is the first lipstick i've used for the third time and still like it,positive,0.8028,None,positive,0.6643,None,positive,0.8895,None,positive,0.9171,None,positive,0.9045,positive,neutral,0.5841,None,positive,0.9129,None,Overall Positive,0.0
"beautiful lipstick color, good quality, fast delivery, very attentive shop. images and videos are for coin-receipt purposes",positive,0.8103,None,positive,0.6978,None,positive,0.8766,None,positive,0.9286,None,positive,0.9353,positive,positive,0.8759,positive,positive,0.942,None,Overall Positive,0.0
"uses: fast delivery, quality product packaging texture: beautiful color fastness: quite long lasting",positive,0.5223,positive,neutral,0.5829,positive,positive,0.8121,None,positive,0.9002,None,positive,0.8709,None,positive,0.8551,positive,positive,0.9072,positive,Overall Positive,0.0
the color is quite nice and smells of chocolate. but international delivery takes a bit longer,negative,0.4637,None,positive,0.6303,None,positive,0.7719,positive,positive,0.8506,None,positive,0.8322,positive,negative,0.8532,negative,positive,0.8171,None,MIXED,0.9846
delivery took a little while but the lipstick looks beautiful. i can check the code... i haven't opened it yet because i haven't used it yet. i don't know if this color suits my skin or not ??????,neutral,0.5159,None,neutral,0.4837,None,neutral,0.4138,None,positive,0.6786,None,neutral,0.44,neutral,negative,0.8757,negative,negative,0.4583,None,MIXED,0.4498
"the lipstick is beautiful but dries too quickly, before even applying it, it dries on my lips",positive,0.462,None,negative,0.7563,negative,negative,0.528,None,positive,0.7142,None,positive,0.7165,None,neutral,0.3959,None,positive,0.5694,None,MIXED,0.844
