text,aspect,true_label,pred_label,error_type
"Small and pretty, color not yet applied to lips, not sure if it suits but beautiful ?",colour,neutral,positive,neutral→positive
"Bought for the first time, the color is pretty and the lipstick is a bit light kkk but there's nothing to criticize about this color",texture,positive,neutral,positive→neutral
"I haven't tried the lipstick yet so I don't know the quality. But this lipstick is expensive at 250k! But buy 1 get 1 free in this color, it's ok",price,negative,positive,negative→positive
"The lipstick well, the color is like cherry red, leaving a dark pink base on my lips.",colour,positive,neutral,positive→neutral
"Lipstick does not increase color. The smell is okay, not very fragrant, the lipstick is soft and smooth, overall it's ok",smell,positive,neutral,positive→neutral
"Lipstick does not increase color. The smell is okay, not very fragrant, the lipstick is soft and smooth, overall it's ok",colour,negative,neutral,negative→neutral
"The lipstick smell is quite and fragrant but the price is very reasonable, the lipstick is smooth so don't ask for much :33",smell,negative,positive,negative→positive
"The lipstick color is very satisfying. Even though it's an international product, delivery takes a while, but it's okay. Thank you to the manufacturer and thank you to the shipping company.",shipping,neutral,negative,neutral→negative
"The shop delivered beautiful lipstick products worth buying, everyone ?",shipping,positive,neutral,positive→neutral
"It took a long time to ship, probably due to the epidemic. The product received in full. The color is quite dark, 1 earthy red, 1 earthy orange red, a bit dark compared to the color, quality is okay compared to the price, there is a chemical smell. The shop gave me an extra mask and blackhead remover.",colour,neutral,negative,neutral→negative
"Color 002 is the top color, guys. It's more of a deep brown. It's quite soft on the lips, but not too matte. Suitable for those with white skin, or if you apply it lightly it will look a bit old.",colour,neutral,positive,neutral→positive
"The shipper is very attentive, due to the epidemic, it may take a little longer. The packaging of the product is very sturdy and avoids overheating. Buy 2 in the sale and get 1 extra free. It's so pretty. Next time I will continue to support this shop.",shipping,positive,neutral,positive→neutral
"Matte lipstick, beautiful color, smooth lips but a little dry. A handsome delivery man ?",texture,neutral,negative,neutral→negative
"The lipstick is very beautiful, it like strawberry syrup and chocolate, very beautiful, please test for the correct color",colour,positive,neutral,positive→neutral
"The lipstick color is beautiful on the lips, but the black shell is so pretty",texture,negative,positive,negative→positive
"I bought 2 lipstick colors, 23 and 19. 23 is darker than 19, 19 is brighter, the lipstick is also smooth, not too matte, wipe it off and still have a light tint layer.",stayingpower,neutral,negative,neutral→negative
"Full delivery, reasonable price. Haven't used it yet so don't know how it works. Thank you store!",shipping,positive,neutral,positive→neutral
