data,stayingpower,texture,smell,price,colour,shipping,packing
"The lipstick color is nice, but the packaging was damaged and not packed carefully.",,,,,positive,,negative
The packaging was very loose and the box arrived dented. The lipstick texture feels smooth though.,,positive,,,,,negative
"Not packaged well, the box looked like it was pressed during delivery.",,,,,,,negative
"The lipstick itself is fine, but the packaging was torn and not suitable for gifting.",,,,,,,negative
"Packaging was careless, the box arrived crushed. The color still looks okay.",,,,,neutral,,negative
"The shop did not package the product properly, the lipstick box was bent.",,,,,,,negative
"Bad packaging, the outer box was damaged when it arrived. Shipping was fast though.",,,,,,positive,negative
The packaging was not neat and looked opened before. The lipstick is usable.,,,,,,,negative
The box was poorly packed and came damaged. The price is acceptable for the product.,,,,neutral,,,negative
"Packaging was careless, there was no protection inside the box.",,,,,,,negative
"The lipstick arrived quickly, but the packaging was damaged and messy.",,,,,,positive,negative
"Poor packaging, the box was dented and did not look new.",,,,,,,negative
The product is fine but the packaging was not done carefully at all.,,,,,,,negative
"Packaging was very poor, the box arrived squashed. The lipstick texture is average.",,neutral,,,,,negative
The packaging looked cheap and was not sealed properly.,,,,,,,negative
"Not happy with the packaging, the box was already damaged when I received it.",,,,,,,negative
"The lipstick color is good, but the packaging was very sloppy.",,,,,positive,,negative
"Packaging was not secure, the box opened easily during delivery.",,,,,,,negative
"The product quality is okay, but the packaging was poorly handled.",,,,,,,negative
Packaging was damaged and not suitable for gifting. The lipstick smells fine.,,,neutral,,,,negative
The box was bent because the packaging was not done carefully.,,,,,,,negative
"Very careless packaging, the lipstick box looked old when it arrived.",,,,,,,negative
The packaging was not protective enough and the box was damaged.,,,,,,,negative
"Packaging quality is poor, but the lipstick applies smoothly.",,positive,,,,,negative
The packaging was messy and the box arrived torn.,,,,,,,negative
"The shop packed the item poorly, the lipstick box was crushed.",,,,,,,negative
Packaging was not done properly and the box looked damaged.,,,,,,,negative
"The lipstick arrived, but the packaging was very careless.",,,,,,,negative
"Bad packaging, the box was already dented before opening.",,,,,,,negative
The packaging was not neat and looked poorly handled.,,,,,,,negative
Packaging was weak and did not protect the product well.,,,,,,,negative
"The lipstick is fine, but the packaging arrived damaged and bent.",,,,,,,negative
