text,stayingpower_pred,stayingpower_conf,stayingpower_true,texture_pred,texture_conf,texture_true,smell_pred,smell_conf,smell_true,price_pred,price_conf,price_true,colour_pred,colour_conf,colour_true,shipping_pred,shipping_conf,shipping_true,packing_pred,packing_conf,packing_true,msr_resolution,conflict_score
beautifully colored lipstick definitely contributes this is also the first time i bought lipstick on shopee. i always support the shop??,positive,0.797,None,positive,0.7812,None,positive,0.8059,None,positive,0.9019,None,positive,0.8743,positive,positive,0.5126,None,positive,0.8792,positive,Overall Positive,0.0
uses: totso texture: huhc color fastness: ok hfuffufkdufjjvk kgigrgikbbugdu ogvvcjdytsifvjg gjvcjhchxdyvjgvjgu icvivf,neutral,0.6154,positive,positive,0.5821,neutral,positive,0.4166,None,positive,0.8169,None,positive,0.612,None,negative,0.5887,None,positive,0.7242,None,MIXED,0.496
the lipstick color is extremely beautiful ?? you should buy the image to receive coins cdgjsjsjsjsbsbbsbsbsbxbxxxbhsbbsbsbsbsbsbsbsbbbsbsbsbsbsbsbsbsbbsbsbsbsbsbbsbsbdbdbbdbdbdbdbdbdbdbvvvdvvdvvdvvdvvdbv,positive,0.8182,None,positive,0.7717,None,positive,0.8694,None,positive,0.9104,None,positive,0.9496,positive,neutral,0.6398,None,positive,0.9061,None,Overall Positive,0.0
i think this lipstick color is very beautiful. feels very smooth when applied to the lips. the lipstick sticks tightly like a magnet,positive,0.7766,positive,positive,0.9544,positive,positive,0.857,None,positive,0.9276,None,positive,0.9188,positive,positive,0.4551,None,positive,0.9166,None,Overall Positive,0.0
"uses: 10 points texture: dac color fastness: 5-6 h u is a very pretty color, this is the lipstick i've worn the most so far. brushing on your skin really whitens your teeth!!!! 10 minutes",neutral,0.5126,positive,neutral,0.6681,neutral,positive,0.7239,None,positive,0.8948,None,positive,0.8126,positive,neutral,0.4191,None,positive,0.8636,None,Overall Positive,0.0
"i've been waiting for a long time, but the process of packing and sending goods to customers is a bit long and can be ignored. really excellent lipstick color. well worth buying",positive,0.4469,None,positive,0.5208,None,positive,0.7214,None,positive,0.8707,None,positive,0.8845,positive,negative,0.8578,negative,positive,0.8079,None,MIXED,0.7138
"the color is beautiful, the packaging is very okeeeeee, if i have the opportunity i will support it",positive,0.7967,None,positive,0.7531,None,positive,0.8566,None,positive,0.9199,None,positive,0.9167,positive,neutral,0.5306,None,positive,0.9133,positive,Overall Positive,0.0
the lipstick is beautiful but delivery took a bit longer sorry for not having photos to send to the shop will support for a long time,neutral,0.4038,None,neutral,0.444,None,positive,0.6728,None,positive,0.8401,None,positive,0.6532,None,negative,0.8982,negative,positive,0.7458,None,MIXED,0.6865
"do not buy it!!!! shop nt will never respond to customers buy 2 lipsticks 01, but get 02. what the hell???? everyone be careful",negative,0.8318,None,negative,0.4355,None,positive,0.4878,None,positive,0.5073,None,positive,0.4542,None,negative,0.7133,negative,negative,0.6321,None,MIXED,0.9322
"the lipstick is so pretty, it's so cheap, i bought it twice and the color is perfect, my lips are smooth, the smell is a bit horrible",positive,0.5872,None,positive,0.5573,positive,negative,0.8942,negative,positive,0.7483,None,positive,0.881,positive,negative,0.4097,None,positive,0.7019,None,MIXED,0.9482
