review_id,product_name,rating,review_text,reviewer
1,Glow Serum,5,"This serum is absolutely amazing! My skin feels so soft and glowing after just one week. The packaging is beautiful and the scent is lovely. Worth every penny!",Emma_K
2,Matte Lipstick,2,"The color is gorgeous but it completely dried out my lips within an hour. The packaging looks cheap and the price is way too high for what you get.",Sarah_M
3,Moisturizing Cream,4,"Really effective for dry skin, keeps my face hydrated all day. The texture is a bit heavy for summer but works great in winter. Decent price for the quantity.",Priya_L
4,Eyeshadow Palette,5,"The pigmentation is unbelievable! So many gorgeous shades, blends beautifully. The packaging is sturdy and looks luxurious. Totally worth the splurge.",Tasha_B
5,Tinted Sunscreen,3,"Good sun protection and the tint is nice but the scent is overpowering and artificial. It also pills under makeup which is frustrating. Average price.",Claire_N
6,Vitamin C Serum,1,"Broke me out terribly after two applications. The texture is sticky and doesn't absorb well. The packaging leaked in my bag. Total waste of money.",Anita_R
7,Hydrating Mask,5,"Hands down the best mask I've ever used. Skin looks plump and radiant after. The scent is like a spa experience and the packaging is eco-friendly. Great value!",Mia_W
8,Foundation,4,"Great coverage and stays on all day without oxidizing. The shade range is impressive. Only downside is the packaging – the pump broke after two weeks.",Fatima_Z
9,Face Scrub,3,"The scrub works fine for exfoliation. Nothing special about the scent or texture. Packaging is basic. The price seems a bit high for a simple scrub.",Rachel_T
10,Retinol Night Cream,2,"It caused significant peeling and redness even though I introduced it slowly. The texture is too thick and greasy. Packaging is fine. Overpriced for the irritation.",Dana_S
11,Rose Water Toner,5,"This toner is so refreshing! The scent is pure and natural. Leaves skin feeling balanced and soft. Affordable price and the bottle looks elegant.",Yuna_C
12,BB Cream,4,"Excellent for everyday wear – lightweight feel and natural finish. Love the scent. The packaging cap is a bit loose and the price is slightly high but overall great product.",Sophie_H
13,Clay Detox Mask,3,"Decent at controlling oil but I didn't notice much difference in pore size. The texture is a bit crumbly and the earthy scent is not for everyone. Fair price.",Leila_A
14,Lip Gloss,5,"So moisturizing and the shine lasts for hours! The shades are stunning and the scent is amazing – like vanilla. Cute packaging and very affordable.",Riya_D
15,Anti-Aging Serum,1,"Zero results after a full month of use. The serum pilled under my moisturizer and the scent gave me headaches. Ridiculously overpriced – very disappointed.",Nora_V
16,Concealer,4,"Fantastic coverage with a natural finish. Blends seamlessly. The shade is a perfect match for my skin tone. Packaging feels premium. Good value for the quality.",Priya_L
17,Exfoliating Toner,3,"Does the job but nothing extraordinary. The scent is a bit medicinal. Packaging is functional. The price is reasonable. Would repurchase if on sale.",Emma_K
18,Setting Spray,5,"This is a game changer! Makeup stays locked all day even in humidity. The mist is fine and refreshing. Compact packaging perfect for travel. Absolutely worth it.",Tasha_B
19,Brightening Cream,2,"I loved the scent and the packaging but the cream did nothing for my dark spots. The texture feels nice but it's just extremely overpriced for zero results.",Claire_N
20,Micellar Water,5,"Removes everything – even waterproof mascara – without irritation. Gentle scent, simple packaging, and a very budget-friendly price. A skincare staple!",Sarah_M
